1952	7	Stevenson
1960	7	Kennedy
1972	7	McGovern
1976	7	Carter
1984	7	Mondale
1988	7	Dukakis
1992	7	Clinton
2000	8	Gore
2004	7	Kerry
2008	8	Obama
