1944	6	Dewey
1952	7	Eisenhower
1960	7	Nixon
1964	7	Goldwater
1968	8	Nixon
1976	8	Ford
1980	7	Reagan
1996	8	Dole
2000	7	Bush
2008	9	McCain
2012	8	Romney
